Age,MonthlyIncome,YearsAtCompany,JobSatisfaction,DistanceFromHome,OverTime,WorkLifeBalance,NumPromotions,Attrition
32,113723,7,1,34,No,3,1,No
54,66356,30,4,39,No,4,3,No
53,25789,30,1,3,No,2,0,Yes
43,112720,21,1,8,No,2,0,No
44,81656,20,4,23,No,3,3,No
57,59028,35,2,14,No,1,0,Yes
55,79484,33,2,27,No,4,1,Yes
42,47154,21,2,29,No,4,2,Yes
47,17336,22,3,39,Yes,1,3,Yes
55,118677,31,4,39,No,1,1,Yes
21,82779,0,4,1,No,1,3,No
55,34029,34,1,17,No,3,3,Yes
57,74201,34,3,30,Yes,3,0,Yes
34,47265,10,2,13,No,4,0,No
23,117916,1,3,21,No,3,1,No
21,61197,0,4,19,No,2,3,No
25,140733,4,4,19,No,4,0,No
46,86907,24,1,25,No,3,0,No
34,143876,9,1,22,No,1,3,No
59,79435,37,4,31,No,2,1,No
47,55631,23,2,17,Yes,1,1,Yes
29,144038,5,2,23,No,4,3,No
35,35103,11,3,32,No,1,1,Yes
35,79772,14,4,10,No,3,0,No
46,141108,22,4,10,No,3,3,No
33,29382,8,2,36,No,4,0,No
52,99291,30,2,8,No,1,2,No
59,116195,36,4,20,No,4,2,No
52,149828,27,1,32,No,1,1,No
24,35609,0,4,14,No,2,2,No
50,90683,26,4,28,No,3,0,No
57,139714,36,2,24,Yes,4,2,Yes
43,145330,21,2,15,No,2,0,Yes
59,86315,38,1,22,No,2,1,No
35,92834,13,1,30,No,4,1,No
49,141205,27,3,4,No,4,0,No
56,29153,35,4,13,No,2,2,No
33,91325,8,2,23,No,1,1,Yes
52,70318,30,1,8,No,2,3,Yes
27,146886,6,3,18,Yes,4,1,No
42,130033,20,3,12,Yes,2,2,No
48,91077,25,2,31,Yes,1,3,Yes
22,105474,0,2,14,No,3,2,No
26,148515,2,3,34,No,3,0,No
48,88319,26,1,18,No,2,3,No
48,140885,25,3,34,No,1,2,No
40,124777,16,4,11,No,3,3,No
50,32368,26,4,12,Yes,2,2,Yes
31,106751,9,2,15,No,2,3,No
48,42306,27,1,31,No,1,2,No
45,52219,23,1,29,Yes,4,0,Yes
59,75279,36,4,26,Yes,2,3,No
53,68028,29,3,18,Yes,4,3,No
21,119263,0,2,32,Yes,4,3,No
47,15126,26,3,22,No,3,3,No
33,67329,11,3,38,Yes,4,0,No
23,42632,0,3,17,No,1,3,No
59,124945,38,1,23,No,3,1,No
26,70176,3,4,24,No,3,0,No
28,149869,4,1,8,No,3,1,No
47,49560,25,4,6,No,2,3,No
29,91589,8,2,5,No,2,2,No
57,37116,32,2,29,No,4,1,Yes
53,147717,32,3,28,Yes,3,3,No
44,139085,19,4,11,No,3,1,No
35,132718,12,4,1,Yes,1,3,Yes
52,34256,28,4,19,No,4,3,No
52,115158,29,3,9,Yes,1,3,No
44,134719,22,3,27,No,4,2,No
32,83244,11,2,34,No,4,1,Yes
59,71264,34,1,4,No,2,0,Yes
22,72545,0,4,36,No,2,0,No
23,54224,2,4,18,No,1,0,No
57,112945,36,1,15,Yes,4,0,Yes
37,28224,15,4,13,No,3,3,No
22,55738,0,3,19,No,2,1,Yes
22,78731,0,3,6,No,3,1,No
48,23070,26,4,12,No,1,2,No
43,141161,20,3,37,No,2,1,No
57,23666,35,3,17,No,2,1,No
52,72761,27,4,23,No,4,1,No
53,51368,32,2,26,Yes,1,2,Yes
21,56914,0,1,29,Yes,4,0,Yes
39,142738,16,3,33,Yes,2,1,Yes
22,82526,0,2,27,No,1,2,No
46,34956,23,3,25,No,2,2,No
52,61240,28,3,10,No,1,3,No
26,136008,4,1,23,No,2,2,No
52,109270,30,3,21,No,3,0,No
24,19757,0,1,21,No,3,1,Yes
31,34097,7,1,13,No,4,2,Yes
37,118892,12,1,37,Yes,3,0,Yes
58,85480,37,2,33,Yes,2,2,Yes
44,61163,20,4,24,No,2,2,No
25,34816,2,2,11,No,3,2,No
54,67853,33,4,17,No,4,2,No
26,111731,5,4,4,No,3,2,No
42,77823,19,1,25,No,1,0,No
31,16759,10,3,30,Yes,1,1,No
36,107374,12,1,9,Yes,1,1,Yes
53,148554,28,3,21,No,3,1,No
29,39442,8,4,20,No,3,1,No
26,108501,2,1,19,No,3,0,No
36,17079,14,3,19,No,1,3,No
49,148789,25,2,12,No,4,3,No
23,74676,0,3,37,No,2,0,Yes
40,105397,16,1,17,No,3,0,Yes
56,87847,33,2,37,No,4,2,Yes
39,108607,14,3,39,No,2,2,No
46,79077,24,3,28,No,2,2,No
23,53258,0,3,35,No,2,1,No
39,134771,15,3,18,Yes,4,2,No
40,53000,15,3,14,No,4,3,No
52,41737,30,2,35,No,1,1,Yes
27,26485,4,4,7,No,4,2,No
53,53565,31,2,13,No,4,1,No
59,134614,35,2,18,No,4,3,No
38,80155,16,2,37,No,2,2,Yes
21,67487,0,4,13,No,3,3,No
31,144948,8,1,36,Yes,1,3,Yes
48,27342,26,4,31,No,3,3,No
45,55806,21,2,2,No,3,2,No
43,63770,19,3,16,No,4,0,No
51,93623,29,3,9,No,1,2,No
50,118177,26,2,9,No,3,3,No
55,146026,30,3,38,No,3,2,No
27,90629,2,2,11,No,1,3,No
36,135993,11,3,22,No,4,0,No
46,141944,25,4,33,Yes,3,1,No
22,120947,0,1,36,No,2,0,Yes
21,41399,0,1,23,No,3,0,No
32,143177,8,4,34,No,2,1,No
25,124575,4,4,9,Yes,4,2,Yes
57,125904,33,2,24,No,3,1,No
52,45678,28,2,8,No,1,2,Yes
29,91218,6,2,7,Yes,1,2,Yes
55,78230,30,3,36,No,3,3,No
39,89055,15,2,18,No,4,3,No
36,87258,13,4,3,No,4,1,No
23,54986,0,1,28,No,1,0,Yes
40,100595,16,3,6,No,3,1,No
44,116358,20,2,21,No,4,2,No
53,79929,32,3,28,No,1,3,No
44,88506,23,3,1,Yes,2,1,No
31,49911,6,2,36,Yes,3,1,Yes
28,102127,4,3,21,No,2,3,No
56,128453,34,1,35,Yes,2,3,Yes
58,99458,37,4,13,No,4,3,No
40,27175,15,4,10,No,4,2,No
55,134235,31,1,10,No,4,3,Yes
45,69771,21,3,13,No,3,0,No
55,142157,33,2,37,No,2,1,No
45,136300,20,3,38,No,3,3,No
49,101925,25,1,24,No,4,3,No
38,81358,17,3,2,Yes,2,2,No
38,62057,16,4,22,No,3,2,No
22,21150,0,3,17,No,3,1,No
55,19425,33,1,36,No,1,0,Yes
36,31032,15,4,14,No,3,1,No
56,17198,31,3,10,Yes,4,3,No
53,133865,31,3,35,No,3,0,No
24,38236,1,4,25,No,2,0,No
53,102955,32,2,3,No,3,0,No
34,118145,13,4,38,No,1,0,No
41,109914,20,2,17,No,2,1,Yes
40,117870,17,1,12,No,2,2,No
28,131243,5,1,24,No,1,2,No
27,29596,3,4,29,No,4,3,Yes
23,147351,1,4,25,No,2,2,No
37,126496,13,1,36,Yes,4,2,Yes
53,145273,31,2,26,No,2,2,Yes
32,135674,9,1,38,No,2,2,No
42,135307,19,4,1,No,4,3,No
42,34063,18,1,20,No,2,1,No
50,82642,25,4,28,No,4,0,No
58,105093,34,4,16,No,1,2,No
58,50954,36,1,17,No,4,1,No
28,42856,4,2,28,No,1,2,No
47,17573,26,3,12,Yes,2,2,Yes
47,50367,25,1,27,Yes,4,0,Yes
54,114608,32,3,30,No,2,0,Yes
41,75774,16,1,34,Yes,4,0,Yes
50,38752,27,3,37,Yes,1,2,Yes
53,70029,31,2,6,No,1,2,Yes
48,145282,25,2,7,No,4,2,No
53,66693,29,1,32,No,1,0,Yes
25,131739,4,4,32,Yes,2,3,Yes
39,70961,14,3,25,No,2,1,No
24,141678,1,4,33,Yes,3,3,No
55,89532,33,4,7,No,1,2,No
37,96994,14,4,12,No,2,2,No
48,71133,26,2,16,No,4,3,No
50,76268,27,1,16,No,1,2,Yes
49,46653,27,1,36,Yes,2,1,Yes
26,136829,2,2,13,No,1,2,No
55,143377,33,2,7,No,4,1,No
57,16622,35,1,36,No,2,3,Yes
44,63756,23,4,9,Yes,3,3,No
49,55809,27,3,32,No,3,2,No
51,31725,30,3,11,No,1,1,Yes
55,66226,30,3,8,No,4,2,No
53,96182,32,4,33,No,2,0,No
41,44402,17,1,23,No,4,0,No
52,19263,31,2,25,No,2,0,No
43,62924,18,1,8,No,1,0,No
53,89182,29,4,22,No,2,2,No
23,50737,0,2,4,No,4,0,No
38,116332,15,4,3,No,4,1,No
45,104563,24,3,29,No,1,3,No
51,143575,30,3,29,No,4,3,No
23,116371,0,4,34,No,2,0,No
44,53709,19,2,34,No,1,0,Yes
52,36172,30,2,28,No,2,0,No
42,26555,17,1,13,No,4,2,Yes
43,68276,21,3,15,No,1,3,No
22,72492,0,1,23,No,2,0,No
47,104599,26,1,26,Yes,4,1,Yes
22,26046,0,4,4,No,4,0,No
46,131021,21,4,26,No,3,3,No
37,19853,13,1,9,Yes,4,0,Yes
53,135900,29,3,5,No,2,3,No
29,74129,5,4,32,No,1,0,No
59,129130,34,1,20,Yes,3,1,Yes
49,136789,25,1,11,No,4,0,Yes
46,53890,24,1,15,No,4,1,No
55,81017,30,1,32,No,4,1,No
45,147596,21,1,28,No,2,0,No
44,115424,19,1,22,Yes,3,1,No
33,30048,10,4,17,Yes,2,2,No
27,69912,5,3,26,No,3,0,No
56,49008,32,1,7,No,1,0,Yes
40,146132,17,2,26,No,2,1,Yes
21,98559,0,4,25,Yes,2,1,Yes
28,70337,3,4,10,No,1,0,No
36,125616,13,1,19,Yes,3,2,No
34,28350,12,4,11,Yes,4,1,Yes
32,39354,10,1,13,No,1,1,Yes
43,60186,22,3,8,No,4,3,No
35,43145,13,3,4,No,4,2,No
48,101123,25,4,31,No,1,2,No
54,35581,32,4,28,No,3,0,No
22,103929,0,2,11,No,4,2,No
52,38051,31,4,1,No,1,0,No
43,66474,20,2,38,No,2,3,Yes
42,106748,21,3,24,No,2,2,No
45,140995,22,3,31,No,2,1,Yes
42,84626,17,1,26,Yes,1,3,Yes
42,21960,21,3,5,No,2,0,No
26,51408,2,2,20,Yes,4,3,Yes
35,109006,12,4,11,No,2,0,No
57,72134,33,1,33,No,2,3,Yes
53,147413,32,2,38,Yes,4,0,Yes
28,105327,4,4,27,Yes,2,2,Yes
25,146410,1,1,34,No,4,1,Yes
59,26344,38,3,15,No,2,0,No
24,147822,0,2,32,Yes,4,3,Yes
26,82957,2,4,21,No,2,0,No
52,120423,28,1,5,No,4,0,No
50,73053,25,1,6,No,1,0,Yes
55,92454,31,3,38,No,4,3,No
36,105600,12,4,22,No,2,1,No
33,137732,9,3,18,No,2,2,No
50,52641,28,3,14,No,3,1,No
39,44711,14,4,10,No,4,0,No
37,85342,13,4,13,Yes,1,3,No
39,121896,14,4,31,Yes,4,1,Yes
48,102833,25,2,30,Yes,4,0,Yes
46,71276,23,4,3,No,1,2,No
57,34541,33,1,30,No,4,2,Yes
46,109457,21,3,6,No,1,2,No
43,59813,18,2,29,No,1,0,Yes
29,39070,4,4,8,No,4,3,No
32,95559,10,2,33,Yes,4,1,No
21,56786,0,4,17,No,2,2,No
21,51062,0,2,11,No,2,0,Yes
54,66571,29,3,13,No,3,0,No
52,40510,30,3,11,No,3,1,No
45,34426,23,1,31,No,4,2,Yes
21,52265,0,1,28,No,1,0,Yes
36,81150,15,4,6,No,3,1,No
59,102312,34,3,16,No,4,3,No
25,104613,0,2,4,No,3,3,No
42,89910,20,2,35,Yes,1,3,Yes
49,67375,27,2,26,No,4,2,No
23,136826,0,1,12,Yes,1,1,Yes
32,50435,7,2,11,No,4,1,No
46,111443,21,1,37,Yes,3,0,Yes
36,149055,14,1,25,No,2,0,No
57,38510,32,4,18,No,3,0,No
42,109071,17,2,19,No,3,1,No
49,21640,25,2,23,Yes,2,0,Yes
34,59547,13,3,38,Yes,2,1,Yes
48,69620,25,4,18,Yes,4,1,No
25,130608,4,3,26,Yes,4,3,No
50,22564,26,4,6,Yes,1,0,No
25,128824,2,2,4,No,1,3,Yes
32,94273,7,1,29,Yes,3,2,No
36,89859,12,1,34,Yes,2,2,Yes
46,125017,21,1,17,No,1,2,Yes
46,138618,24,1,16,No,3,1,No
41,140341,17,1,2,No,2,1,No
59,44430,37,3,34,No,4,1,No
56,42788,32,4,8,No,3,0,No
53,84346,29,2,13,Yes,4,3,No
50,111122,28,3,8,No,1,1,No
57,54974,34,4,30,No,1,3,No
43,122309,22,1,32,Yes,2,3,No
30,31371,5,4,36,No,3,3,No
25,60084,1,4,30,Yes,4,0,Yes
56,76916,31,1,1,Yes,2,0,Yes
54,88972,32,1,39,No,1,2,Yes
51,27984,26,1,17,No,1,2,No
30,48039,8,2,20,No,3,3,No
39,100431,14,1,24,Yes,4,2,Yes
52,98691,31,2,22,No,3,3,No
21,73606,0,1,29,No,4,0,No
25,117665,4,2,22,No,4,0,No
24,120373,3,4,9,No,3,0,No
36,39574,15,3,37,Yes,2,1,Yes
44,149502,23,4,10,Yes,3,3,No
36,47733,14,4,36,No,3,0,No
22,17050,0,1,37,No,1,3,Yes
48,124996,23,2,28,No,1,2,Yes
52,48933,31,3,28,No,3,2,No
47,39951,25,1,21,No,3,0,Yes
40,47413,18,1,24,Yes,1,3,Yes
44,127573,22,1,2,No,4,0,No
32,137744,8,4,8,Yes,3,2,No
55,104431,30,2,27,No,2,0,No
53,58001,29,2,22,No,2,3,No
53,82364,30,3,37,No,2,2,Yes
57,139988,35,2,27,No,3,1,No
32,60028,9,2,29,Yes,4,2,No
23,146878,2,1,3,Yes,4,1,No
21,139343,0,1,13,Yes,1,0,Yes
53,143301,29,4,10,No,3,0,No
30,141295,5,1,36,No,4,3,No
49,49636,26,1,9,No,3,1,No
33,39262,8,1,27,Yes,1,0,Yes
32,95435,8,1,34,No,1,1,Yes
51,143583,30,4,1,No,1,0,No
22,56844,0,1,32,No,2,2,Yes
55,79754,30,3,25,No,3,0,No
43,92129,22,3,29,No,1,3,No
37,55042,14,3,7,No,3,2,No
46,76665,25,3,3,Yes,2,3,Yes
28,131953,3,1,20,No,2,2,No
49,133533,26,3,20,Yes,1,1,No
46,88781,23,1,30,No,1,3,No
30,81262,9,4,35,No,4,0,No
46,61600,21,3,35,No,3,1,No
54,91898,30,2,39,No,1,0,Yes
27,45448,2,3,27,No,4,2,No
24,41172,2,3,26,No,3,2,No
31,22657,7,1,14,No,1,0,Yes
49,127855,26,3,17,No,4,0,No
56,22906,32,2,18,No,4,1,Yes
45,76413,22,1,29,No,3,0,No
41,69028,18,1,20,No,4,3,No
56,22287,32,4,27,No,3,3,No
30,48660,7,4,18,No,3,0,No
57,75504,34,3,4,No,3,3,No
29,117979,7,4,1,Yes,2,0,No
44,49701,19,4,1,Yes,4,1,Yes
55,98300,30,4,26,No,3,3,No
55,98560,33,1,20,Yes,1,3,Yes
56,58642,32,1,23,No,2,0,No
38,80160,17,1,10,No,2,3,No
59,32602,38,4,11,No,4,2,No
52,118320,31,1,5,No,3,1,No
44,103801,22,4,1,No,4,1,No
43,40931,21,1,17,No,2,3,Yes
52,109377,29,1,22,No,3,3,No
57,44192,36,2,34,No,1,2,No
32,61542,8,3,29,No,3,2,No
33,142015,9,4,4,Yes,2,3,No
43,57520,22,2,5,No,1,3,No
45,79772,24,1,11,No,3,2,No
55,65106,34,4,21,No,1,0,No
50,96121,28,1,35,No,1,2,No
37,40559,15,3,12,No,2,0,No
40,120595,18,2,26,No,1,1,No
45,48742,20,3,19,No,4,1,No
42,84669,18,2,7,Yes,2,2,Yes
33,85831,9,1,7,Yes,4,0,Yes
39,127217,16,3,26,No,1,2,No
56,56873,34,3,5,No,4,2,No
32,121532,7,1,21,No,3,0,Yes
39,141267,14,3,14,No,1,2,No
32,149092,8,4,4,No,3,1,No
29,56755,7,2,23,No,4,3,No
27,100956,4,2,20,Yes,3,3,No
48,101988,26,2,15,No,1,2,No
34,60648,13,4,29,Yes,3,0,Yes
51,140991,29,2,8,Yes,4,0,Yes
39,130005,18,1,19,No,4,1,No
36,17396,15,3,39,Yes,4,0,Yes
25,99082,2,4,28,Yes,1,0,Yes
55,143322,31,2,27,Yes,4,1,No
32,147663,10,1,4,No,1,2,No
45,26303,24,3,15,No,3,3,No
41,86719,19,3,35,No,4,1,No
56,114616,32,4,37,No,3,2,No
43,139165,19,4,1,No,2,1,No
36,101231,11,4,3,No,3,2,No
59,22314,35,1,24,Yes,2,1,Yes
59,34623,36,1,27,No,3,2,No
34,120228,13,4,36,No,1,1,No
51,112624,26,2,34,No,3,2,No
25,126785,2,3,29,No,1,1,Yes
55,101206,33,3,24,No,1,3,No
43,84274,22,1,24,No,4,3,Yes
49,148541,25,3,4,No,1,0,No
31,68947,10,2,3,No,2,2,No
38,63874,16,3,34,No,4,1,No
32,64708,7,1,23,No,4,2,No
29,89553,4,1,23,No,3,3,Yes
30,83344,5,2,5,No,1,2,Yes
37,64138,13,2,31,Yes,1,1,Yes
58,62638,35,3,6,No,2,2,No
27,93249,4,3,37,Yes,3,1,No
33,120865,12,1,10,No,3,3,No
29,17719,5,2,7,No,4,3,Yes
47,57534,22,2,39,No,4,3,No
22,107241,0,2,38,Yes,4,0,Yes
25,141209,3,3,21,No,2,3,No
49,107124,27,2,20,Yes,2,2,No
57,106659,32,1,3,No,4,0,No
58,90713,33,1,22,No,3,3,No
39,90418,15,3,4,No,2,2,No
28,143232,5,4,28,No,3,2,No
21,46575,0,3,12,No,3,2,No
42,78852,19,4,38,Yes,1,1,Yes
37,147079,13,2,36,No,4,0,No
27,91242,2,3,5,No,1,2,No
45,44257,22,1,13,No,4,1,Yes
24,76246,0,2,23,No,4,3,Yes
56,16435,31,1,30,Yes,3,2,Yes
26,106357,5,2,37,No,4,1,No
51,98807,28,3,25,No,3,2,No
39,130953,16,4,27,No,3,0,No
59,138797,34,2,14,Yes,4,0,No
47,78888,23,4,36,Yes,3,3,No
30,88609,9,2,39,No,3,2,No
46,24077,21,1,16,No,3,1,No
39,35953,17,1,22,Yes,2,3,Yes
59,129682,37,2,21,No,3,2,No
23,82889,2,4,21,No,2,3,No
33,130374,9,3,8,No,2,1,No
48,39860,23,3,16,No,3,3,No
40,92475,17,1,31,No,3,3,No
48,102266,27,3,10,No,2,3,No
28,115732,4,1,32,No,2,2,Yes
59,42083,36,3,34,No,3,1,No
21,72372,0,2,9,Yes,3,0,No
23,138786,1,1,17,Yes,4,2,Yes
33,22813,10,1,11,No,2,0,Yes
48,46598,27,2,32,Yes,2,0,Yes
45,108106,23,1,10,No,4,2,No
53,42082,28,3,22,Yes,2,2,No
58,44241,35,3,17,Yes,1,1,Yes
26,26745,3,1,4,No,2,1,Yes
52,41029,30,3,25,No,4,3,No
41,138395,20,4,21,No,1,0,No
36,104186,11,1,37,Yes,3,1,Yes
41,112768,20,2,38,Yes,4,3,Yes
31,56846,7,4,1,No,4,1,No
57,90932,33,1,25,No,3,2,No
56,38411,34,2,36,No,4,1,Yes
55,93797,33,3,17,No,2,0,No
39,67307,17,2,24,No,3,1,No
40,149165,16,4,2,No,4,0,No
38,37042,17,3,15,No,3,2,No
34,67930,13,1,32,No,3,0,No
35,112883,13,3,39,No,3,1,Yes
51,48756,26,1,6,No,1,3,No
21,68268,0,1,1,No,4,2,Yes
23,63901,0,2,23,No,1,1,Yes
36,114986,13,2,39,Yes,4,2,Yes
43,143386,20,2,17,Yes,2,2,No
31,20626,8,4,34,No,2,1,No
32,27857,7,4,29,No,2,1,No
30,148052,8,2,9,Yes,4,3,No
52,41431,28,4,13,No,3,2,No
36,99976,11,3,6,No,3,2,No
28,97711,4,3,6,No,1,1,No
58,41385,34,4,20,No,1,0,No
32,33639,10,4,3,No,2,1,Yes
44,100530,21,3,17,Yes,1,2,No
48,36563,26,1,12,Yes,4,1,Yes
28,130672,3,3,1,Yes,4,3,No
48,97970,23,3,17,No,1,0,No
56,100553,31,4,3,Yes,1,1,No
46,97879,24,3,26,No,1,3,No
28,59859,4,4,15,No,1,2,No
48,67098,24,4,36,No,2,1,Yes
48,137413,27,2,32,Yes,2,2,Yes
57,15526,32,3,32,Yes,1,3,No
56,83760,32,1,4,Yes,4,2,No
47,62837,26,2,18,No,2,3,No
37,26536,13,4,19,No,4,3,No
29,43541,4,4,35,Yes,3,3,Yes
53,94083,30,1,14,Yes,4,1,Yes
40,49531,15,4,33,Yes,1,2,Yes
33,23712,11,3,14,Yes,3,2,Yes
48,119101,24,2,34,No,2,0,Yes
49,80455,25,4,4,No,2,0,No
33,89744,11,4,24,No,3,0,No
55,144749,33,1,29,No,4,0,Yes
26,20109,3,3,19,Yes,2,2,Yes
38,64268,14,4,6,No,1,3,No
25,69615,1,1,33,No,3,3,Yes
45,97503,22,4,19,No,1,1,No
22,100708,1,1,1,No,3,3,No
30,117471,7,1,5,Yes,2,2,No
50,98309,25,3,27,Yes,4,2,Yes
25,141446,1,4,16,Yes,3,2,No
53,121661,31,3,6,No,3,1,No
21,21154,0,1,13,No,1,0,Yes
38,79288,14,2,35,No,2,3,No
52,66195,29,4,19,No,1,2,No
31,35581,6,2,12,No,2,2,No
41,45087,17,4,16,No,1,0,No
46,84298,25,3,10,Yes,3,2,No
45,61167,24,3,25,No,1,3,No
42,54499,20,3,20,Yes,4,1,No
47,140816,23,3,31,No,2,2,No
33,111347,12,3,4,No,2,3,No
53,63787,30,2,23,Yes,3,2,Yes
54,50488,30,3,2,No,2,0,No
55,89441,32,1,22,No,4,2,Yes
21,37431,0,1,37,No,1,2,No
41,76681,20,2,8,No,3,1,No
26,137720,2,4,7,No,4,0,No
48,64153,23,1,14,Yes,2,0,Yes
37,21368,16,4,3,Yes,2,1,Yes
25,127360,4,2,16,Yes,4,2,No
51,127755,27,4,19,No,1,3,No
25,71985,1,4,18,Yes,1,0,Yes
58,65069,35,4,16,No,3,0,No
23,67326,0,4,8,No,2,2,No
43,123737,20,2,33,No,4,2,Yes
57,65861,36,1,12,No,1,0,No
57,90897,35,3,11,No,3,2,No
30,142118,5,4,5,No,2,3,No
30,83577,9,1,27,Yes,2,0,Yes
39,24078,15,1,12,Yes,3,3,Yes
37,77768,12,2,17,No,3,3,No
41,66047,19,1,6,Yes,1,2,Yes
34,86626,12,2,33,Yes,4,3,No
29,72660,6,4,5,No,2,2,No
21,147997,0,4,28,Yes,4,1,No
33,132832,10,3,14,No,2,2,No
24,145406,3,3,5,Yes,2,3,Yes
21,140150,0,3,33,No,4,1,No
52,48320,31,1,19,No,3,2,No
54,79881,31,4,22,No,1,3,No
48,105827,23,2,5,No,2,0,Yes
51,117215,28,3,2,No,3,0,No
28,149461,3,2,30,Yes,2,2,Yes
59,76550,36,2,39,No,1,2,No
46,39826,24,3,4,No,2,0,No
54,115734,31,4,33,No,1,3,No
23,113511,1,3,13,No,1,3,No
32,26653,9,2,20,Yes,2,3,Yes
21,96941,0,3,7,No,2,2,No
25,48662,0,2,15,No,1,1,Yes
50,113818,25,2,23,Yes,3,1,No
50,110081,26,3,14,No,4,1,No
37,51877,16,1,23,Yes,1,1,Yes
43,126562,18,3,19,Yes,2,1,Yes
35,87715,13,1,29,Yes,2,2,Yes
57,125091,32,2,20,Yes,3,2,No
41,147632,17,2,29,No,4,1,No
34,94148,12,1,24,Yes,1,2,Yes
22,98186,0,2,18,No,1,2,No
31,138629,9,1,10,No,4,1,No
59,85316,36,1,8,Yes,1,3,No
58,43380,37,2,26,No,4,2,No
54,125198,33,4,29,No,2,3,No
58,17356,34,1,10,No,4,2,No
54,85326,33,3,17,Yes,1,2,Yes
38,107447,14,3,2,No,4,1,No
50,129994,26,2,6,No,3,2,No
35,35049,11,4,5,Yes,2,0,Yes
47,120361,26,2,28,Yes,2,0,Yes
54,31082,30,4,5,No,4,1,No
58,15661,37,1,18,Yes,1,3,Yes
53,17920,29,1,26,No,3,3,Yes
44,94561,19,1,20,No,2,3,Yes
35,23946,11,1,27,No,2,0,Yes
50,31309,28,3,12,No,1,3,No
37,70230,13,3,7,Yes,1,3,Yes
